"","subject","trial","condition","trialtype","Looks","time","time_bin","condition_num"
"77",11788555,"153","unrelated2","TCUU",0,921.200000286098,900,-0.5
"78",11788555,"153","cohort","TCUU",0,921.200000286098,900,0.5
"79",11788555,"153","unrelated","TCUU",0,954.400000095367,900,-0.5
"80",11788555,"153","unrelated2","TCUU",0,954.400000095367,900,-0.5
"81",11788555,"153","cohort","TCUU",0,954.400000095367,900,0.5
"82",11788555,"153","unrelated","TCUU",0,988.599999904637,900,-0.5
"83",11788555,"153","unrelated2","TCUU",0,988.599999904637,900,-0.5
"84",11788555,"153","cohort","TCUU",0,988.599999904637,900,0.5
"85",11788555,"153","unrelated","TCUU",0,1023.30000019074,1000,-0.5
"86",11788555,"153","unrelated2","TCUU",0,1023.30000019074,1000,-0.5
"87",11788555,"153","cohort","TCUU",0,1023.30000019074,1000,0.5
"88",11788555,"153","unrelated","TCUU",0,1058.30000019074,1000,-0.5
"89",11788555,"153","unrelated2","TCUU",0,1058.30000019074,1000,-0.5
"90",11788555,"153","cohort","TCUU",0,1058.30000019074,1000,0.5
"91",11788555,"153","unrelated","TCUU",0,1092.90000009537,1000,-0.5
"92",11788555,"153","unrelated2","TCUU",0,1092.90000009537,1000,-0.5
"93",11788555,"153","cohort","TCUU",0,1092.90000009537,1000,0.5
"94",11788555,"153","unrelated","TCUU",0,1127.09999990464,1100,-0.5
"95",11788555,"153","unrelated2","TCUU",0,1127.09999990464,1100,-0.5
"96",11788555,"153","cohort","TCUU",0,1127.09999990464,1100,0.5
"97",11788555,"153","unrelated","TCUU",0,1163.30000019074,1100,-0.5
"98",11788555,"153","unrelated2","TCUU",0,1163.30000019074,1100,-0.5
"99",11788555,"153","cohort","TCUU",0,1163.30000019074,1100,0.5
"100",11788555,"153","unrelated","TCUU",0,1201.2000002861,1200,-0.5
"101",11788555,"153","unrelated2","TCUU",0,1201.2000002861,1200,-0.5
"102",11788555,"153","cohort","TCUU",0,1201.2000002861,1200,0.5
"103",11788555,"153","unrelated","TCUU",0,1234.59999990464,1200,-0.5
"104",11788555,"153","unrelated2","TCUU",0,1234.59999990464,1200,-0.5
"105",11788555,"153","cohort","TCUU",0,1234.59999990464,1200,0.5
"106",11788555,"153","unrelated","TCUU",0,1271.80000019074,1200,-0.5
"107",11788555,"153","unrelated2","TCUU",0,1271.80000019074,1200,-0.5
"108",11788555,"153","cohort","TCUU",0,1271.80000019074,1200,0.5
"109",11788555,"153","unrelated","TCUU",0,1302.80000019074,1300,-0.5
"110",11788555,"153","unrelated2","TCUU",0,1302.80000019074,1300,-0.5
"111",11788555,"153","cohort","TCUU",0,1302.80000019074,1300,0.5
"112",11788555,"153","unrelated","TCUU",0,1336.30000019074,1300,-0.5
"113",11788555,"153","unrelated2","TCUU",0,1336.30000019074,1300,-0.5
"114",11788555,"153","cohort","TCUU",0,1336.30000019074,1300,0.5
"115",11788555,"153","unrelated","TCUU",0,1371,1300,-0.5
"116",11788555,"153","unrelated2","TCUU",0,1371,1300,-0.5
"117",11788555,"153","cohort","TCUU",0,1371,1300,0.5
"118",11788555,"153","unrelated","TCUU",0,1404.2000002861,1400,-0.5
"119",11788555,"153","unrelated2","TCUU",0,1404.2000002861,1400,-0.5
"120",11788555,"153","cohort","TCUU",0,1404.2000002861,1400,0.5
"121",11788555,"153","unrelated","TCUU",0,1439,1400,-0.5
"122",11788555,"153","unrelated2","TCUU",0,1439,1400,-0.5
"123",11788555,"153","cohort","TCUU",0,1439,1400,0.5
"124",11788555,"153","unrelated","TCUU",0,1472.09999990464,1400,-0.5
"125",11788555,"153","unrelated2","TCUU",0,1472.09999990464,1400,-0.5
"126",11788555,"153","cohort","TCUU",0,1472.09999990464,1400,0.5
"127",11788555,"153","unrelated","TCUU",0,1508.09999990464,1500,-0.5
"128",11788555,"153","unrelated2","TCUU",0,1508.09999990464,1500,-0.5
"129",11788555,"153","cohort","TCUU",0,1508.09999990464,1500,0.5
"130",11788555,"153","unrelated","TCUU",0,1538.90000009537,1500,-0.5
"131",11788555,"153","unrelated2","TCUU",1,1538.90000009537,1500,-0.5
"132",11788555,"153","cohort","TCUU",0,1538.90000009537,1500,0.5
"133",11788555,"153","unrelated","TCUU",0,1574.30000019074,1500,-0.5
"134",11788555,"153","unrelated2","TCUU",1,1574.30000019074,1500,-0.5
"135",11788555,"153","cohort","TCUU",0,1574.30000019074,1500,0.5
"136",11788555,"153","unrelated","TCUU",0,1609.30000019074,1600,-0.5
"137",11788555,"153","unrelated2","TCUU",0,1609.30000019074,1600,-0.5
"138",11788555,"153","cohort","TCUU",0,1609.30000019074,1600,0.5
"139",11788555,"76","unrelated","TCRU",0,-78.0000004768369,-100,-0.5
"140",11788555,"76","cohort","TCRU",1,-78.0000004768369,-100,0.5
"141",11788555,"76","unrelated","TCRU",0,-46.9000005722049,-100,-0.5
"142",11788555,"76","cohort","TCRU",1,-46.9000005722049,-100,0.5
"143",11788555,"76","unrelated","TCRU",0,-10.8000001907349,-100,-0.5
"144",11788555,"76","cohort","TCRU",1,-10.8000001907349,-100,0.5
"145",11788555,"76","unrelated","TCRU",1,22.6999998092651,0,-0.5
"146",11788555,"76","cohort","TCRU",0,22.6999998092651,0,0.5
"147",11788555,"76","unrelated","TCRU",0,57.1999998092651,0,-0.5
"148",11788555,"76","cohort","TCRU",0,57.1999998092651,0,0.5
"149",11788555,"76","unrelated","TCRU",0,97.1999998092651,0,-0.5
"150",11788555,"76","cohort","TCRU",0,97.1999998092651,0,0.5
"151",11788555,"76","unrelated","TCRU",0,129.999999523163,100,-0.5
"152",11788555,"76","cohort","TCRU",0,129.999999523163,100,0.5
"153",11788555,"76","unrelated","TCRU",0,163.39999961853,100,-0.5
"154",11788555,"76","cohort","TCRU",0,163.39999961853,100,0.5
"155",11788555,"76","unrelated","TCRU",1,196.499999523163,100,-0.5
"156",11788555,"76","cohort","TCRU",0,196.499999523163,100,0.5
"157",11788555,"76","unrelated","TCRU",1,229.89999961853,200,-0.5
"158",11788555,"76","cohort","TCRU",0,229.89999961853,200,0.5
"159",11788555,"76","unrelated","TCRU",1,263.699999809265,200,-0.5
"160",11788555,"76","cohort","TCRU",0,263.699999809265,200,0.5
"161",11788555,"76","unrelated","TCRU",1,298.799999713898,200,-0.5
"162",11788555,"76","cohort","TCRU",0,298.799999713898,200,0.5
"163",11788555,"76","unrelated","TCRU",0,329.799999713898,300,-0.5
"164",11788555,"76","cohort","TCRU",1,329.799999713898,300,0.5
"165",11788555,"76","unrelated","TCRU",0,363.299999713898,300,-0.5
"166",11788555,"76","cohort","TCRU",1,363.299999713898,300,0.5
"167",11788555,"76","unrelated","TCRU",0,397.099999427795,300,-0.5
"168",11788555,"76","cohort","TCRU",1,397.099999427795,300,0.5
"169",11788555,"76","unrelated","TCRU",0,431.599999427795,400,-0.5
"170",11788555,"76","cohort","TCRU",1,431.599999427795,400,0.5
"171",11788555,"76","unrelated","TCRU",0,463.799999713898,400,-0.5
"172",11788555,"76","cohort","TCRU",1,463.799999713898,400,0.5
"173",11788555,"76","unrelated","TCRU",0,499.199999809265,400,-0.5
"174",11788555,"76","cohort","TCRU",1,499.199999809265,400,0.5
"175",11788555,"76","unrelated","TCRU",0,535.999999523163,500,-0.5
"176",11788555,"76","cohort","TCRU",1,535.999999523163,500,0.5
